Date,Performance
30-Apr-03,"10,000.00"
31-May-03,"10,818.60"
30-Jun-03,"11,344.36"
31-Jul-03,"12,016.54"
31-Aug-03,"12,871.27"
30-Sep-03,"12,953.98"
31-Oct-03,"14,086.33"
30-Nov-03,"14,322.11"
31-Dec-03,"15,467.76"
31-Jan-04,"15,926.49"
29-Feb-04,"16,523.79"
31-Mar-04,"16,653.76"
30-Apr-04,"15,281.40"
31-May-04,"15,276.62"
30-Jun-04,"15,334.92"
31-Jul-04,"14,960.29"
31-Aug-04,"15,469.67"
30-Sep-04,"16,388.08"
31-Oct-04,"16,921.35"
30-Nov-04,"18,608.14"
31-Dec-04,"19,417.03"
31-Jan-05,"19,521.51"
28-Feb-05,"21,292.76"
31-Mar-05,"19,752.71"
30-Apr-05,"19,246.77"
31-May-05,"19,938.44"
30-Jun-05,"20,732.67"
31-Jul-05,"22,346.25"
31-Aug-05,"22,610.34"
30-Sep-05,"24,525.73"
31-Oct-05,"22,874.43"
30-Nov-05,"24,534.44"
31-Dec-05,"25,975.71"
31-Jan-06,"29,326.85"
28-Feb-06,"28,643.12"
31-Mar-06,"29,141.98"
30-Apr-06,"30,943.73"
31-May-06,"27,492.82"
30-Jun-06,"27,460.54"
31-Jul-06,"28,047.43"
31-Aug-06,"28,587.37"
30-Sep-06,"28,516.94"
31-Oct-06,"30,157.29"
30-Nov-06,"32,346.39"
31-Dec-06,"33,951.85"
31-Jan-07,"33,740.56"
28-Feb-07,"33,187.04"
31-Mar-07,"34,636.30"
30-Apr-07,"36,183.76"
31-May-07,"37,644.92"
30-Jun-07,"39,007.87"
31-Jul-07,"40,222.03"
31-Aug-07,"39,980.98"
30-Sep-07,"44,453.73"
31-Oct-07,"49,060.40"
30-Nov-07,"45,712.53"
31-Dec-07,"45,683.65"
31-Jan-08,"40,594.08"
29-Feb-08,"42,694.46"
31-Mar-08,"40,469.55"
30-Apr-08,"44,120.73"
31-May-08,"45,468.38"
30-Jun-08,"41,336.93"
31-Jul-08,"39,421.05"
31-Aug-08,"36,641.44"
30-Sep-08,"30,937.42"
31-Oct-08,"22,981.91"
30-Nov-08,"20,945.12"
31-Dec-08,"22,843.41"
31-Jan-09,"21,100.21"
28-Feb-09,"19,844.88"
31-Mar-09,"22,884.12"
30-Apr-09,"26,550.29"
31-May-09,"30,551.57"
30-Jun-09,"30,106.65"
31-Jul-09,"33,552.30"
31-Aug-09,"33,163.65"
30-Sep-09,"36,221.37"
31-Oct-09,"35,721.98"
30-Nov-09,"37,771.69"
31-Dec-09,"39,240.56"
31-Jan-10,"36,593.00"
28-Feb-10,"36,740.62"
31-Mar-10,"39,655.15"
30-Apr-10,"39,934.93"
31-May-10,"36,059.40"
30-Jun-10,"35,862.55"
31-Jul-10,"39,102.10"
31-Aug-10,"38,130.32"
30-Sep-10,"42,408.17"
31-Oct-10,"43,693.73"
30-Nov-10,"42,540.15"
31-Dec-10,"45,489.94"
31-Jan-11,"43,963.37"
28-Feb-11,"43,817.77"
31-Mar-11,"46,310.77"
30-Apr-11,"47,731.05"
31-May-11,"46,340.71"
30-Jun-11,"45,614.86"
31-Jul-11,"45,333.97"
31-Aug-11,"41,265.74"
30-Sep-11,"35,155.95"
31-Oct-11,"39,877.97"
30-Nov-11,"37,340.03"
31-Dec-11,"36,905.68"
31-Jan-12,"41,028.71"
29-Feb-12,"43,385.93"
31-Mar-12,"41,959.05"
30-Apr-12,"41,468.47"
31-May-12,"36,712.48"
30-Jun-12,"38,181.47"
31-Jul-12,"38,875.96"
31-Aug-12,"38,718.01"
30-Sep-12,"41,018.19"
