Date,Performance
30-Sep-09,"10,000.00"
31-Oct-09,"9,808.99"
30-Nov-09,"10,216.91"
31-Dec-09,"10,403.91"
31-Jan-10,"9,940.74"
28-Feb-10,"10,070.76"
31-Mar-10,"10,686.30"
30-Apr-10,"10,633.80"
31-May-10,"9,695.77"
30-Jun-10,"9,327.33"
31-Jul-10,"10,088.44"
31-Aug-10,"9,702.26"
30-Sep-10,"10,594.32"
31-Oct-10,"10,986.70"
30-Nov-10,"10,737.54"
31-Dec-10,"11,519.12"
31-Jan-11,"11,786.17"
28-Feb-11,"12,191.72"
31-Mar-11,"12,042.10"
30-Apr-11,"12,540.48"
31-May-11,"12,153.00"
30-Jun-11,"12,104.83"
31-Jul-11,"11,878.72"
31-Aug-11,"11,034.26"
30-Sep-11,"10,081.12"
31-Oct-11,"11,134.36"
30-Nov-11,"10,864.06"
31-Dec-11,"10,842.34"
31-Jan-12,"11,387.92"
29-Feb-12,"11,945.28"
31-Mar-12,"12,100.32"
30-Apr-12,"11,962.41"
31-May-12,"10,919.41"
30-Jun-12,"11,473.83"
31-Jul-12,"11,613.91"
31-Aug-12,"11,905.04"
30-Sep-12,"12,229.11"
31-Oct-12,"12,134.38"
30-Nov-12,"12,293.21"
31-Dec-12,"12,526.50"
31-Jan-13,"13,169.55"
28-Feb-13,"13,186.28"
31-Mar-13,"13,494.59"
30-Apr-13,"13,911.42"
31-May-13,"13,930.20"
30-Jun-13,"13,585.17"
31-Jul-13,"14,299.54"
31-Aug-13,"13,989.02"
30-Sep-13,"14,694.12"
31-Oct-13,"15,267.07"
30-Nov-13,"15,542.28"
31-Dec-13,"15,868.00"
31-Jan-14,"15,273.52"
28-Feb-14,"16,037.07"
31-Mar-14,"16,059.89"
30-Apr-14,"16,233.39"
31-May-14,"16,550.97"
30-Jun-14,"16,843.96"
31-Jul-14,"16,575.64"
31-Aug-14,"16,938.45"
30-Sep-14,"16,491.75"
31-Oct-14,"16,600.35"
30-Nov-14,"16,942.52"
31-Dec-14,"16,780.39"
31-Jan-15,"16,363.84"
28-Feb-15,"17,324.00"
31-Mar-15,"17,055.72"
30-Apr-15,"17,452.71"
31-May-15,"17,518.34"
30-Jun-15,"17,115.70"
31-Jul-15,"17,422.72"
31-Aug-15,"16,392.58"
30-Sep-15,"15,674.38"
31-Oct-15,"16,920.23"
30-Nov-15,"16,842.91"
31-Dec-15,"16,541.46"
31-Jan-16,"15,560.99"
29-Feb-16,"15,449.12"
31-Mar-16,"16,498.36"
30-Apr-16,"16,765.51"
31-May-16,"16,862.14"
30-Jun-16,"16,671.26"
31-Jul-16,"17,374.95"
31-Aug-16,"17,394.26"
30-Sep-16,"17,486.69"
31-Oct-16,"17,144.16"
30-Nov-16,"17,403.97"
31-Dec-16,"17,820.36"
31-Jan-17,"18,244.96"
28-Feb-17,"18,748.34"
31-Mar-17,"18,951.19"
30-Apr-17,"19,233.09"
31-May-17,"19,646.25"
30-Jun-17,"19,723.69"
31-Jul-17,"20,194.13"
31-Aug-17,"20,220.33"
30-Sep-17,"20,679.20"
31-Oct-17,"21,065.23"
30-Nov-17,"21,525.27"
31-Dec-17,"21,820.40"
31-Jan-18,"22,974.86"
28-Feb-18,"22,024.86"
