Date,Performance
30-Apr-02,"10,000.00"
31-May-02,"9,904.60"
30-Jun-02,"9,316.35"
31-Jul-02,"9,079.83"
31-Aug-02,"9,087.49"
30-Sep-02,"8,164.64"
31-Oct-02,"8,930.84"
30-Nov-02,"8,486.11"
31-Dec-02,"8,366.60"
31-Jan-03,"8,027.40"
28-Feb-03,"7,917.40"
31-Mar-03,"7,808.46"
30-Apr-03,"7,902.41"
31-May-03,"8,599.91"
30-Jun-03,"9,111.84"
31-Jul-03,"9,831.00"
31-Aug-03,"10,201.24"
30-Sep-03,"10,568.39"
31-Oct-03,"11,105.54"
30-Nov-03,"11,201.04"
31-Dec-03,"11,724.84"
31-Jan-04,"12,303.05"
29-Feb-04,"12,522.99"
31-Mar-04,"12,546.10"
30-Apr-04,"12,288.64"
31-May-04,"12,064.57"
30-Jun-04,"12,281.39"
31-Jul-04,"12,652.92"
31-Aug-04,"13,009.03"
30-Sep-04,"13,705.70"
31-Oct-04,"13,829.70"
30-Nov-04,"14,411.93"
31-Dec-04,"14,826.26"
31-Jan-05,"15,000.63"
28-Feb-05,"15,284.06"
31-Mar-05,"15,257.54"
30-Apr-05,"15,374.47"
31-May-05,"15,488.58"
30-Jun-05,"15,748.23"
31-Jul-05,"17,024.19"
31-Aug-05,"16,399.69"
30-Sep-05,"16,566.91"
31-Oct-05,"15,886.52"
30-Nov-05,"16,544.45"
31-Dec-05,"17,209.86"
31-Jan-06,"18,227.56"
28-Feb-06,"18,774.28"
31-Mar-06,"19,199.41"
30-Apr-06,"20,342.75"
31-May-06,"18,832.79"
30-Jun-06,"19,167.59"
31-Jul-06,"19,316.52"
31-Aug-06,"19,863.03"
30-Sep-06,"20,360.49"
31-Oct-06,"21,812.76"
30-Nov-06,"23,178.50"
31-Dec-06,"24,525.55"
31-Jan-07,"25,613.20"
28-Feb-07,"25,562.50"
31-Mar-07,"26,828.13"
30-Apr-07,"28,020.50"
31-May-07,"29,252.34"
30-Jun-07,"29,542.59"
31-Jul-07,"29,757.20"
31-Aug-07,"28,699.97"
30-Sep-07,"32,130.85"
31-Oct-07,"33,827.94"
30-Nov-07,"31,442.33"
31-Dec-07,"31,343.54"
31-Jan-08,"27,348.33"
29-Feb-08,"28,214.53"
31-Mar-08,"28,396.28"
30-Apr-08,"30,387.09"
31-May-08,"30,928.69"
30-Jun-08,"28,696.41"
31-Jul-08,"28,399.21"
31-Aug-08,"25,926.83"
30-Sep-08,"22,094.65"
31-Oct-08,"16,301.00"
30-Nov-08,"15,543.90"
31-Dec-08,"16,636.60"
31-Jan-09,"15,756.75"
28-Feb-09,"14,065.93"
31-Mar-09,"15,279.42"
30-Apr-09,"17,904.37"
31-May-09,"22,289.77"
30-Jun-09,"22,297.93"
31-Jul-09,"25,471.78"
31-Aug-09,"25,100.66"
30-Sep-09,"26,427.30"
31-Oct-09,"26,431.06"
30-Nov-09,"27,531.24"
31-Dec-09,"28,869.13"
31-Jan-10,"27,361.96"
28-Feb-10,"27,395.85"
31-Mar-10,"28,956.66"
30-Apr-10,"30,572.78"
31-May-10,"27,897.67"
30-Jun-10,"28,799.19"
31-Jul-10,"31,148.62"
31-Aug-10,"31,079.65"
30-Sep-10,"33,618.67"
31-Oct-10,"34,675.70"
30-Nov-10,"34,005.03"
31-Dec-10,"35,694.50"
31-Jan-11,"35,592.86"
28-Feb-11,"33,970.41"
31-Mar-11,"35,381.47"
30-Apr-11,"37,509.66"
31-May-11,"37,127.24"
30-Jun-11,"36,884.71"
31-Jul-11,"38,461.03"
31-Aug-11,"35,186.49"
30-Sep-11,"30,157.51"
31-Oct-11,"33,497.62"
30-Nov-11,"31,024.57"
31-Dec-11,"30,123.79"
31-Jan-12,"34,120.31"
29-Feb-12,"35,386.29"
31-Mar-12,"35,352.81"
30-Apr-12,"35,724.23"
31-May-12,"32,170.26"
30-Jun-12,"33,946.14"
31-Jul-12,"36,485.57"
31-Aug-12,"36,569.56"
30-Sep-12,"37,621.66"
31-Oct-12,"37,560.33"
30-Nov-12,"37,957.18"
31-Dec-12,"39,204.74"
31-Jan-13,"40,077.22"
28-Feb-13,"39,935.90"
31-Mar-13,"40,369.65"
30-Apr-13,"41,336.53"
31-May-13,"39,797.59"
30-Jun-13,"37,773.99"
31-Jul-13,"38,497.01"
31-Aug-13,"36,474.78"
30-Sep-13,"38,799.71"
31-Oct-13,"39,776.83"
30-Nov-13,"38,958.25"
31-Dec-13,"38,668.97"
31-Jan-14,"36,535.88"
28-Feb-14,"37,911.64"
31-Mar-14,"39,209.25"
30-Apr-14,"40,519.11"
31-May-14,"41,108.99"
30-Jun-14,"40,849.30"
31-Jul-14,"42,317.67"
31-Aug-14,"42,131.59"
30-Sep-14,"40,602.72"
31-Oct-14,"40,294.89"
30-Nov-14,"40,702.11"
31-Dec-14,"40,274.19"
31-Jan-15,"39,765.78"
28-Feb-15,"39,677.38"
31-Mar-15,"39,920.20"
30-Apr-15,"42,300.16"
31-May-15,"40,477.59"
30-Jun-15,"39,606.47"
31-Jul-15,"37,919.72"
31-Aug-15,"33,819.93"
30-Sep-15,"32,071.28"
31-Oct-15,"34,976.88"
30-Nov-15,"33,166.15"
31-Dec-15,"33,281.02"
31-Jan-16,"30,352.52"
29-Feb-16,"31,181.38"
31-Mar-16,"34,764.37"
30-Apr-16,"35,075.31"
31-May-16,"33,884.46"
30-Jun-16,"35,271.19"
31-Jul-16,"35,735.77"
31-Aug-16,"35,095.44"
30-Sep-16,"35,692.08"
31-Oct-16,"34,244.14"
30-Nov-16,"34,322.46"
31-Dec-16,"33,914.94"
31-Jan-17,"36,671.26"
28-Feb-17,"37,582.88"
31-Mar-17,"38,708.55"
30-Apr-17,"38,819.22"
31-May-17,"39,955.34"
30-Jun-17,"40,267.64"
31-Jul-17,"42,201.15"
31-Aug-17,"42,049.31"
30-Sep-17,"41,290.74"
31-Oct-17,"43,049.67"
30-Nov-17,"44,308.41"
31-Dec-17,"44,401.19"
31-Jan-18,"47,032.37"
28-Feb-18,"46,451.93"
