Date,Performance
30-Apr-02,"10,000.00"
31-May-02,"9,768.64"
30-Jun-02,"9,084.98"
31-Jul-02,"8,831.37"
31-Aug-02,"8,777.41"
30-Sep-02,"8,009.34"
31-Oct-02,"8,703.94"
30-Nov-02,"8,273.54"
31-Dec-02,"8,010.13"
31-Jan-03,"7,706.34"
28-Feb-03,"7,600.49"
31-Mar-03,"7,607.84"
30-Apr-03,"7,744.91"
31-May-03,"8,233.95"
30-Jun-03,"8,856.92"
31-Jul-03,"9,540.08"
31-Aug-03,"9,870.11"
30-Sep-03,"10,083.43"
31-Oct-03,"10,671.79"
30-Nov-03,"10,658.34"
31-Dec-03,"10,991.04"
31-Jan-04,"11,509.49"
29-Feb-04,"11,766.45"
31-Mar-04,"11,608.08"
30-Apr-04,"11,540.91"
31-May-04,"11,325.72"
30-Jun-04,"11,676.28"
31-Jul-04,"12,017.68"
31-Aug-04,"12,296.46"
30-Sep-04,"12,736.52"
31-Oct-04,"12,711.77"
30-Nov-04,"13,019.96"
31-Dec-04,"13,358.70"
31-Jan-05,"13,550.81"
28-Feb-05,"13,704.29"
31-Mar-05,"13,889.73"
30-Apr-05,"13,870.51"
31-May-05,"14,213.27"
30-Jun-05,"14,666.82"
31-Jul-05,"15,601.05"
31-Aug-05,"15,252.19"
30-Sep-05,"15,449.42"
31-Oct-05,"14,867.97"
30-Nov-05,"15,440.27"
31-Dec-05,"15,795.29"
31-Jan-06,"16,326.77"
28-Feb-06,"16,799.35"
31-Mar-06,"17,148.43"
30-Apr-06,"17,759.02"
31-May-06,"16,380.27"
30-Jun-06,"16,730.24"
31-Jul-06,"16,807.84"
31-Aug-06,"17,241.69"
30-Sep-06,"17,828.62"
31-Oct-06,"18,747.76"
30-Nov-06,"19,710.10"
31-Dec-06,"20,770.17"
31-Jan-07,"21,723.17"
28-Feb-07,"21,584.35"
31-Mar-07,"22,484.66"
30-Apr-07,"23,504.42"
31-May-07,"24,694.88"
30-Jun-07,"24,939.85"
31-Jul-07,"24,923.75"
31-Aug-07,"24,139.26"
30-Sep-07,"26,326.95"
31-Oct-07,"27,051.20"
30-Nov-07,"25,108.59"
31-Dec-07,"24,903.54"
31-Jan-08,"21,396.19"
29-Feb-08,"21,715.69"
31-Mar-08,"21,600.62"
30-Apr-08,"22,772.25"
31-May-08,"23,281.41"
30-Jun-08,"21,520.50"
31-Jul-08,"21,448.50"
31-Aug-08,"20,238.76"
30-Sep-08,"17,436.10"
31-Oct-08,"13,351.74"
30-Nov-08,"12,942.09"
31-Dec-08,"13,230.23"
31-Jan-09,"13,139.88"
28-Feb-09,"12,003.59"
31-Mar-09,"12,821.05"
30-Apr-09,"14,598.80"
31-May-09,"17,777.46"
30-Jun-09,"17,813.39"
31-Jul-09,"20,274.55"
31-Aug-09,"19,965.54"
30-Sep-09,"20,554.08"
31-Oct-09,"20,403.49"
30-Nov-09,"21,048.96"
31-Dec-09,"22,371.92"
31-Jan-10,"21,200.46"
28-Feb-10,"21,256.50"
31-Mar-10,"22,345.12"
30-Apr-10,"23,126.74"
31-May-10,"21,556.59"
30-Jun-10,"22,192.57"
31-Jul-10,"23,374.79"
31-Aug-10,"23,239.86"
30-Sep-10,"24,407.75"
31-Oct-10,"24,771.71"
30-Nov-10,"24,810.80"
31-Dec-10,"25,239.09"
31-Jan-11,"25,146.43"
28-Feb-11,"23,829.21"
31-Mar-11,"24,616.52"
30-Apr-11,"25,305.48"
31-May-11,"25,297.61"
30-Jun-11,"24,992.80"
31-Jul-11,"25,554.52"
31-Aug-11,"23,349.60"
30-Sep-11,"21,691.07"
31-Oct-11,"23,143.12"
30-Nov-11,"21,940.75"
31-Dec-11,"21,559.52"
31-Jan-12,"23,651.78"
29-Feb-12,"24,355.56"
31-Mar-12,"24,535.56"
30-Apr-12,"24,397.87"
31-May-12,"22,883.83"
30-Jun-12,"23,736.00"
31-Jul-12,"25,057.78"
31-Aug-12,"25,178.84"
30-Sep-12,"25,473.15"
31-Oct-12,"25,293.93"
30-Nov-12,"25,569.66"
31-Dec-12,"26,432.87"
31-Jan-13,"27,382.09"
28-Feb-13,"27,284.12"
31-Mar-13,"27,644.02"
30-Apr-13,"28,101.15"
31-May-13,"27,780.63"
30-Jun-13,"26,443.55"
31-Jul-13,"27,069.88"
31-Aug-13,"25,704.51"
30-Sep-13,"26,871.95"
31-Oct-13,"27,232.48"
30-Nov-13,"26,957.45"
31-Dec-13,"26,949.09"
31-Jan-14,"25,776.78"
28-Feb-14,"26,506.86"
31-Mar-14,"27,215.77"
30-Apr-14,"28,075.80"
31-May-14,"28,446.11"
30-Jun-14,"28,108.92"
31-Jul-14,"29,147.21"
31-Aug-14,"29,020.83"
30-Sep-14,"28,581.09"
31-Oct-14,"28,591.20"
30-Nov-14,"29,284.68"
31-Dec-14,"29,457.45"
31-Jan-15,"29,699.33"
28-Feb-15,"29,786.94"
31-Mar-15,"30,224.98"
30-Apr-15,"30,925.85"
31-May-15,"30,137.37"
30-Jun-15,"29,436.51"
31-Jul-15,"28,639.27"
31-Aug-15,"26,326.78"
30-Sep-15,"25,170.54"
31-Oct-15,"27,038.32"
30-Nov-15,"25,793.13"
31-Dec-15,"26,059.96"
31-Jan-16,"23,845.30"
29-Feb-16,"24,207.97"
31-Mar-16,"25,839.97"
30-Apr-16,"26,021.30"
31-May-16,"25,749.30"
30-Jun-16,"26,202.63"
31-Jul-16,"26,492.76"
31-Aug-16,"26,400.78"
30-Sep-16,"26,860.72"
31-Oct-16,"26,308.79"
30-Nov-16,"27,136.69"
31-Dec-16,"27,044.70"
31-Jan-17,"28,516.52"
28-Feb-17,"29,012.05"
31-Mar-17,"29,854.34"
30-Apr-17,"29,947.93"
31-May-17,"30,509.45"
30-Jun-17,"30,603.04"
31-Jul-17,"31,613.78"
31-Aug-17,"31,518.84"
30-Sep-17,"30,949.23"
31-Oct-17,"32,373.27"
30-Nov-17,"32,942.89"
31-Dec-17,"32,753.01"
31-Jan-18,"33,987.19"
28-Feb-18,"33,917.89"
